category,name,kind,mlir_name,generated,emitted,lowered,test
stmt,SyncMemory,ASR_DIALECT_OP_STMT_SYNCMEMORY,asr.sync_memory,yes,yes,unsupported,no
stmt,Where,ASR_DIALECT_OP_STMT_WHERE,asr.where,yes,yes,unsupported,no
stmt,WhileLoop,ASR_DIALECT_OP_STMT_WHILELOOP,asr.while_loop,yes,yes,unsupported,no
symbol,AssociateBlock,ASR_DIALECT_OP_SYMBOL_ASSOCIATEBLOCK,asr.associate_block,yes,yes,unsupported,no
symbol,Block,ASR_DIALECT_OP_SYMBOL_BLOCK,asr.block,yes,yes,unsupported,no
symbol,CustomOperator,ASR_DIALECT_OP_SYMBOL_CUSTOMOPERATOR,asr.custom_operator,yes,yes,unsupported,no
symbol,Enum,ASR_DIALECT_OP_SYMBOL_ENUM,asr.enum,yes,yes,unsupported,no
symbol,ExternalSymbol,ASR_DIALECT_OP_SYMBOL_EXTERNALSYMBOL,asr.external_symbol,yes,yes,unsupported,no
symbol,Function,ASR_DIALECT_OP_SYMBOL_FUNCTION,asr.function,yes,yes,implemented,focus
symbol,GenericProcedure,ASR_DIALECT_OP_SYMBOL_GENERICPROCEDURE,asr.generic_procedure,yes,yes,unsupported,no
symbol,GpuKernelFunction,ASR_DIALECT_OP_SYMBOL_GPUKERNELFUNCTION,asr.gpu_kernel_function,yes,yes,unsupported,no
symbol,Module,ASR_DIALECT_OP_SYMBOL_MODULE,asr.module,yes,yes,unsupported,no
symbol,Namelist,ASR_DIALECT_OP_SYMBOL_NAMELIST,asr.namelist,yes,yes,unsupported,no
symbol,Program,ASR_DIALECT_OP_SYMBOL_PROGRAM,asr.program,yes,yes,implemented,focus
symbol,Requirement,ASR_DIALECT_OP_SYMBOL_REQUIREMENT,asr.requirement,yes,yes,unsupported,no
symbol,Struct,ASR_DIALECT_OP_SYMBOL_STRUCT,asr.struct,yes,yes,unsupported,no
symbol,StructMethodDeclaration,ASR_DIALECT_OP_SYMBOL_STRUCTMETHODDECLARATION,asr.struct_method_declaration,yes,yes,unsupported,no
symbol,Template,ASR_DIALECT_OP_SYMBOL_TEMPLATE,asr.template,yes,yes,unsupported,no
symbol,Union,ASR_DIALECT_OP_SYMBOL_UNION,asr.union,yes,yes,unsupported,no
symbol,Variable,ASR_DIALECT_OP_SYMBOL_VARIABLE,asr.variable,yes,yes,implemented,focus
tbind,Bind,ASR_DIALECT_OP_TBIND_BIND,asr.bind,yes,yes,unsupported,no
ttype,Allocatable,ASR_DIALECT_OP_TTYPE_ALLOCATABLE,asr.allocatable,yes,yes,unsupported,no
ttype,Array,ASR_DIALECT_OP_TTYPE_ARRAY,asr.array,yes,yes,implemented,focus
ttype,CPtr,ASR_DIALECT_OP_TTYPE_CPTR,asr.c_ptr,yes,yes,unsupported,no
ttype,Complex,ASR_DIALECT_OP_TTYPE_COMPLEX,asr.complex,yes,yes,implemented,focus
ttype,Dict,ASR_DIALECT_OP_TTYPE_DICT,asr.dict,yes,yes,unsupported,no
ttype,EnumType,ASR_DIALECT_OP_TTYPE_ENUMTYPE,asr.enum_type,yes,yes,unsupported,no
ttype,FunctionType,ASR_DIALECT_OP_TTYPE_FUNCTIONTYPE,asr.function_type,yes,yes,unsupported,no
ttype,Integer,ASR_DIALECT_OP_TTYPE_INTEGER,asr.integer,yes,yes,implemented,focus
ttype,List,ASR_DIALECT_OP_TTYPE_LIST,asr.list,yes,yes,unsupported,no
ttype,Logical,ASR_DIALECT_OP_TTYPE_LOGICAL,asr.logical,yes,yes,implemented,focus
ttype,Pointer,ASR_DIALECT_OP_TTYPE_POINTER,asr.pointer,yes,yes,unsupported,no
ttype,Real,ASR_DIALECT_OP_TTYPE_REAL,asr.real,yes,yes,implemented,focus
